,Unnamed: 0,sessionID,labels,positive,neutral,negative,dims,time_shape,path
0,0,Ses01F_impro01_F000,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F000.pt
1,1,Ses01F_impro01_F001,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F001.pt
2,2,Ses01F_impro01_F002,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F002.pt
3,3,Ses01F_impro01_F005,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F005.pt
4,4,Ses01F_impro01_F006,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F006.pt
5,5,Ses01F_impro01_F007,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F007.pt
6,6,Ses01F_impro01_F008,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F008.pt
7,7,Ses01F_impro01_F009,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F009.pt
8,8,Ses01F_impro01_F011,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F011.pt
9,9,Ses01F_impro01_F012,ang,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F012.pt
10,10,Ses01F_impro01_F013,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F013.pt
11,11,Ses01F_impro01_F014,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F014.pt
12,12,Ses01F_impro01_F015,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_F015.pt
13,13,Ses01F_impro01_M000,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M000.pt
14,14,Ses01F_impro01_M001,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M001.pt
15,15,Ses01F_impro01_M002,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M002.pt
16,16,Ses01F_impro01_M003,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M003.pt
17,17,Ses01F_impro01_M004,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M004.pt
18,18,Ses01F_impro01_M005,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M005.pt
19,19,Ses01F_impro01_M006,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M006.pt
20,20,Ses01F_impro01_M007,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M007.pt
21,21,Ses01F_impro01_M008,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M008.pt
22,22,Ses01F_impro01_M009,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M009.pt
23,23,Ses01F_impro01_M010,fru,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M010.pt
24,24,Ses01F_impro01_M011,ang,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M011.pt
25,25,Ses01F_impro01_M013,ang,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro01\Ses01F_impro01_M013.pt
26,26,Ses01F_impro02_F000,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F000.pt
27,27,Ses01F_impro02_F001,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F001.pt
28,28,Ses01F_impro02_F002,sad,0,0,1,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F002.pt
29,29,Ses01F_impro02_F003,neu,0,1,0,"[40, 1500]",1500,c:\Users\hoang\Pojects\audio2emotion\IEMOCAP_full_release\Session1\sentences\mfcc\Ses01F_impro02\Ses01F_impro02_F003.pt
