ID,label,length,path
Ses01M_impro01_F000,ang,1.6899375,./IEMOCAP_full_release/wav/Ses01M_impro01_F000.wav
Ses01M_impro01_F001,ang,2.05,./IEMOCAP_full_release/wav/Ses01M_impro01_F001.wav
Ses01M_impro01_F002,xxx,3.7699375,./IEMOCAP_full_release/wav/Ses01M_impro01_F002.wav
Ses01M_impro01_F003,xxx,3.9499375,./IEMOCAP_full_release/wav/Ses01M_impro01_F003.wav
Ses01M_impro01_F004,fru,3.0375,./IEMOCAP_full_release/wav/Ses01M_impro01_F004.wav
Ses01M_impro01_F005,xxx,2.55,./IEMOCAP_full_release/wav/Ses01M_impro01_F005.wav
Ses01M_impro01_F006,xxx,2.4499375,./IEMOCAP_full_release/wav/Ses01M_impro01_F006.wav
Ses01M_impro01_F007,ang,3.4199375,./IEMOCAP_full_release/wav/Ses01M_impro01_F007.wav
Ses01M_impro01_F008,ang,3.736,./IEMOCAP_full_release/wav/Ses01M_impro01_F008.wav
Ses01M_impro01_F009,xxx,2.7799375,./IEMOCAP_full_release/wav/Ses01M_impro01_F009.wav
Ses01M_impro01_F010,fru,2.0199375,./IEMOCAP_full_release/wav/Ses01M_impro01_F010.wav
Ses01M_impro01_F011,ang,2.1599375,./IEMOCAP_full_release/wav/Ses01M_impro01_F011.wav
Ses01M_impro01_F012,ang,1.925,./IEMOCAP_full_release/wav/Ses01M_impro01_F012.wav
Ses01M_impro01_F013,xxx,1.3899375,./IEMOCAP_full_release/wav/Ses01M_impro01_F013.wav
Ses01M_impro01_F014,xxx,3.0949375,./IEMOCAP_full_release/wav/Ses01M_impro01_F014.wav
Ses01M_impro01_F015,fru,6.0099375,./IEMOCAP_full_release/wav/Ses01M_impro01_F015.wav
Ses01M_impro01_F016,xxx,1.5299375,./IEMOCAP_full_release/wav/Ses01M_impro01_F016.wav
Ses01M_impro01_F017,xxx,3.2549375,./IEMOCAP_full_release/wav/Ses01M_impro01_F017.wav
Ses01M_impro01_F018,xxx,2.97,./IEMOCAP_full_release/wav/Ses01M_impro01_F018.wav
Ses01M_impro01_F019,ang,3.61,./IEMOCAP_full_release/wav/Ses01M_impro01_F019.wav
Ses01M_impro01_F020,ang,3.33,./IEMOCAP_full_release/wav/Ses01M_impro01_F020.wav
Ses01M_impro01_F021,ang,4.9125,./IEMOCAP_full_release/wav/Ses01M_impro01_F021.wav
Ses01M_impro01_F022,ang,10.6899375,./IEMOCAP_full_release/wav/Ses01M_impro01_F022.wav
Ses01M_impro01_F023,xxx,1.9125,./IEMOCAP_full_release/wav/Ses01M_impro01_F023.wav
Ses01M_impro01_F024,neu,3.7124375,./IEMOCAP_full_release/wav/Ses01M_impro01_F024.wav
Ses01M_impro01_F025,neu,3.43,./IEMOCAP_full_release/wav/Ses01M_impro01_F025.wav
Ses01M_impro01_F026,xxx,1.6524375,./IEMOCAP_full_release/wav/Ses01M_impro01_F026.wav
Ses01M_impro01_F027,xxx,1.09,./IEMOCAP_full_release/wav/Ses01M_impro01_F027.wav
Ses01M_impro01_F028,xxx,4.36,./IEMOCAP_full_release/wav/Ses01M_impro01_F028.wav
Ses01M_impro01_F029,xxx,4.125,./IEMOCAP_full_release/wav/Ses01M_impro01_F029.wav
Ses01M_impro01_F030,xxx,2.3375,./IEMOCAP_full_release/wav/Ses01M_impro01_F030.wav
Ses01M_impro01_M000,fru,3.059125,./IEMOCAP_full_release/wav/Ses01M_impro01_M000.wav
Ses01M_impro01_M001,fru,2.4499375,./IEMOCAP_full_release/wav/Ses01M_impro01_M001.wav
Ses01M_impro01_M002,fru,3.1099375,./IEMOCAP_full_release/wav/Ses01M_impro01_M002.wav
Ses01M_impro01_M003,neu,2.4799375,./IEMOCAP_full_release/wav/Ses01M_impro01_M003.wav
Ses01M_impro01_M004,xxx,1.3899375,./IEMOCAP_full_release/wav/Ses01M_impro01_M004.wav
Ses01M_impro01_M005,fru,3.1299375,./IEMOCAP_full_release/wav/Ses01M_impro01_M005.wav
Ses01M_impro01_M006,fru,8.7599375,./IEMOCAP_full_release/wav/Ses01M_impro01_M006.wav
